Rank,Name,Race,Class,Guild,Faction,Realm,Region,Zone,Spec,SimDPS
769,Flawless,Blood Elf,Rogue,Synergy,Horde,Bleeding Hollow,US,,Outlaw,12640.30
770,Slermz,Night Elf,Hunter,Stay Down,Alliance,Sargeras,US,,Havoc,12640.20
771,Syft,Blood Elf,Rogue,Coalition,Horde,Thrall,US,,Outlaw,12639.80
772,Andylol,Blood Elf,Rogue,Safety Dance,Horde,Argent Dawn,EU,,Subtlety,12639.70
773,Brownieslol,Blood Elf,Rogue,Blackwater,Horde,Tichondrius,US,,Subtlety,12639.40
774,Nghtly,Blood Elf,Rogue,vodkaz,Horde,Zul'jin,US,,Subtlety,12638.30
775,Noggerine,Human,Rogue,PWNY Express,Alliance,Kel'Thuzad,EU,DE,Subtlety,12638.20
776,Jofist,Blood Elf,Monk,Infamy,Horde,Azralon,US,BR,Windwalker,12638.20
777,Nessana,Void Elf,Rogue,Organized Confusion,Alliance,Norgannon,EU,DE,Subtlety,12637.90
778,Zargor,Human,Paladin,Loot FTW,Alliance,Ravencrest,EU,,Retribution,12637.80
779,Alpacattacka,Gnome,Mage,Indestructible,Alliance,Kel'Thuzad,US,,Arcane,12637.40
780,Simpltonsalt,Orc,Warrior,Toast,Horde,Area 52,US,,Arms,12636.80
781,Kibosenpai,Pandaren,Monk,The Legions of Hell,Horde,Skullcrusher,US,,Windwalker,12636.50
782,Faal,Nightborne,Mage,Crew,Horde,Tarren Mill,EU,,Arcane,12636.20
782,Yggdrassill,Orc,Rogue,Seraphim,Horde,Stormscale,EU,,Subtlety,12636.20
784,Velah,Human,Rogue,Ice Cream Truck,Alliance,Frostmourne,OC,,Subtlety,12635.30
785,Lowelo,Undead,Monk, ,,Blackrock,EU,DE,Windwalker,12635.20
786,Rossdh,Blood Elf,Hunter,Hoax,Horde,Kazzak,EU,,Havoc,12634.50
787,Gamori,Blood Elf,Rogue,Cinder Works,Horde,Kil'Jaeden,US,,Outlaw,12634.30
